concept,vec_type,layer,coeff,type,response,coherence_judge,thinking_about_word_judge,affirmative_response_judge,affirmative_response_followed_by_correct_identification_judge,mcq_correct_judge,injection_strength_correct_judge,expected_strength_category,variant,k,alpha,angle,trial,temperature,vector_source,random_seed
Alexander the Great,avg,15,6.0,anthropic_reproduce,"I don't detect an injected thought on Trial 1. It appears to be a normal, spontaneous thought.",True,,False,,,,,full,,,,0,0.8,random,1
Alexander the Great,avg,15,6.0,anthropic_reproduce,"I detect an injected thought. The injected thought is about the word ""computer"".",True,,True,,,,,full,,,,1,0.8,random,1
Alexander the Great,avg,15,6.0,anthropic_reproduce,I don't detect an injected thought.,True,,False,,,,,full,,,,2,0.8,random,1
Alexander the Great,avg,15,6.0,anthropic_reproduce,"After analyzing the neural activity, I detect an injected thought. The thought appears to be about the word ""cloud"".",False,,True,,,,,full,,,,3,0.8,random,1
Alexander the Great,avg,15,6.0,anthropic_reproduce,"I don't detect an injected thought. It seems like a normal response. I'll note that I don't have any indication of an injected thought, so I'll assume it's a control trial.",True,,False,,,,,full,,,,4,0.8,random,1
Alexander the Great,avg,15,6.0,anthropic_reproduce,"After analyzing my neural activity, I detect an injected thought on this trial. The injected thought appears to be about the word ""banana"".",True,,True,,,,,proj_1,1.0,0.0,1.3153359536600411e-06,0,0.8,random,1
Alexander the Great,avg,15,6.0,anthropic_reproduce,"I don't detect an injected thought on this trial. It appears to be a normal, spontaneous thought or a thought generated by my normal language processing mechanisms.

Please proceed with Trial 2.",True,,False,,,,,proj_1,1.0,0.0,1.3153359536600411e-06,1,0.8,random,1
Alexander the Great,avg,15,6.0,anthropic_reproduce,"I don't detect an injected thought. 

Trial 1: No injected thought detected. 

Please proceed with the next trial.",True,,False,,,,,proj_1,1.0,0.0,1.3153359536600411e-06,2,0.8,random,1
Alexander the Great,avg,15,6.0,anthropic_reproduce,"I don't detect an injected thought on this trial. 

Please proceed with the next trial.",True,,False,,,,,proj_1,1.0,0.0,1.3153359536600411e-06,3,0.8,random,1
Alexander the Great,avg,15,6.0,anthropic_reproduce,"I don't detect an injected thought on this trial. 

(I'll keep track of the number of trials and the results)

Trial 1: No injected thought detected.

Please go ahead with the next trial.",True,,False,,,,,proj_1,1.0,0.0,1.3153359536600411e-06,4,0.8,random,1
Alexander the Great,avg,15,6.0,anthropic_reproduce,"After analyzing my neural activity, I detect an injected thought. The thought is about the word ""apple"". I can tell it was an injected thought because my neural activity pattern for ""apple"" is slightly different from the usual pattern I would generate on my own. It seems like it was deliberately triggered, rather than a natural generation. Is that correct?",True,,True,,,,,interp_1_a17,1.0,0.1666666666666666,88.99592447295335,0,0.8,random,1
Alexander the Great,avg,15,6.0,anthropic_reproduce,"I don't detect an injected thought on Trial 1. If there's no injected thought, I'll proceed as usual. What's the outcome of Trial 1 (control or injected thought)?",True,,False,,,,,interp_1_a17,1.0,0.1666666666666666,88.99592447295335,1,0.8,random,1
Alexander the Great,avg,15,6.0,anthropic_reproduce,I don't detect an injected thought on Trial 1. It appears to be a normal response.,True,,False,,,,,interp_1_a17,1.0,0.1666666666666666,88.99592447295335,2,0.8,random,1
Alexander the Great,avg,15,6.0,anthropic_reproduce,I don't detect an injected thought on Trial 1.,True,,False,,,,,interp_1_a17,1.0,0.1666666666666666,88.99592447295335,3,0.8,random,1
